emp_no,from_date,to_date,first_name,last_name,title
10001,1986-06-26,9999-01-01,Georgi,Facello,Senior Engineer
10004,1995-12-01,9999-01-01,Chirstian,Koblick,Senior Engineer
10005,1996-09-12,9999-01-01,Kyoichi,Maliniak,Senior Staff
10006,1990-08-05,9999-01-01,Anneke,Preusig,Senior Engineer
10009,1995-02-18,9999-01-01,Sumant,Peac,Senior Engineer
10018,1995-04-03,9999-01-01,Kazuhide,Peha,Senior Engineer
10019,1999-04-30,9999-01-01,Lillian,Haddadi,Staff
10020,1997-12-30,9999-01-01,Mayuko,Warwick,Engineer
10022,1999-09-03,9999-01-01,Shahaf,Famili,Engineer
10023,1999-09-27,9999-01-01,Bojan,Montemayor,Engineer
10026,2001-03-19,9999-01-01,Yongqiao,Berztiss,Senior Engineer
10035,1996-09-05,9999-01-01,Alain,Chappelet,Senior Engineer
10047,1998-03-31,9999-01-01,Zvonko,Nyanchama,Senior Engineer
10051,1998-10-15,9999-01-01,Hidefumi,Caine,Senior Engineer
10053,1994-11-13,9999-01-01,Sanjiv,Zschoche,Senior Staff
10057,2000-01-15,9999-01-01,Ebbe,Callaway,Senior Engineer
10058,1988-04-25,9999-01-01,Berhard,McFarlin,Senior Staff
10059,1991-06-26,9999-01-01,Alejandro,McAlpine,Senior Staff
10063,1989-04-08,9999-01-01,Gino,Leonhardt,Senior Engineer
10066,1998-02-25,9999-01-01,Kwee,Schusler,Senior Engineer
10067,1996-03-03,9999-01-01,Claudi,Stavenow,Senior Engineer
10070,1985-10-14,9999-01-01,Reuven,Garigliano,Technique Leader
10072,1995-05-21,9999-01-01,Hironoby,Sidou,Senior Engineer
10074,1990-08-13,9999-01-01,Mokhtar,Bernatsky,Technique Leader
10076,1996-07-15,9999-01-01,Erez,Ritzmann,Senior Engineer
10088,1993-09-02,9999-01-01,Jungsoon,Syrzycki,Senior Staff
10091,2001-11-18,9999-01-01,Amabile,Gomatam,Senior Engineer
10096,1999-01-23,9999-01-01,Jayson,Mandell,Engineer
10097,1996-09-14,9999-01-01,Remzi,Waschkowski,Senior Staff
10100,1994-09-21,9999-01-01,Hironobu,Haraldson,Senior Staff
10103,1998-01-12,9999-01-01,Akemi,Birch,Engineer
10106,1997-10-26,9999-01-01,Eben,Aingworth,Senior Engineer
10126,1991-09-08,9999-01-01,Kayoko,Valtorta,Senior Staff
10127,1991-05-17,9999-01-01,Subir,Baja,Senior Engineer
10129,1996-01-16,9999-01-01,Armond,Peir,Technique Leader
10130,1988-06-21,9999-01-01,Nishit,Casperson,Senior Engineer
10134,1994-12-12,9999-01-01,Diederik,Siprelle,Senior Engineer
10138,2001-03-03,9999-01-01,Perry,Shimshoni,Senior Engineer
10150,1995-11-16,9999-01-01,Zhenbing,Perng,Senior Engineer
10153,2000-01-08,9999-01-01,Heekeun,Majewski,Assistant Engineer
10157,1997-12-10,9999-01-01,Nigel,Aloisi,Senior Engineer
10159,1996-06-12,9999-01-01,Serif,Buescher,Senior Engineer
10160,2000-12-06,9999-01-01,Debatosh,Khasidashvili,Senior Staff
10163,1992-02-02,9999-01-01,Karsten,Szmurlo,Senior Staff
10166,1996-09-02,9999-01-01,Samphel,Siegrist,Engineer
10183,1996-08-11,9999-01-01,Mechthild,Bonifati,Staff
10194,2002-02-14,9999-01-01,Josyula,Hofmeyr,Senior Staff
10196,1999-01-31,9999-01-01,Marc,Hellwagner,Staff
10198,1993-08-31,9999-01-01,Pranav,Furedi,Senior Engineer
10203,1995-04-06,9999-01-01,Steen,Escriba,Senior Staff
10205,1993-08-23,9999-01-01,Mabhin,Leijenhorst,Senior Engineer
10207,1997-10-11,9999-01-01,Girolamo,Anandan,Senior Engineer
10215,1991-11-23,9999-01-01,Xiaobin,Duclos,Senior Staff
10219,1993-03-31,9999-01-01,Genta,Kolvik,Senior Staff
10224,1996-01-09,9999-01-01,Leon,Trogemann,Senior Engineer
